State,FiscalYear,InflationDenom,CostOfLiving,ExpensiveSchoolEnrollment,StateSupport,FTEnrollment,SupportPerStudent
Vermont,2004,0.78,1.12,1.01,66508333,17429,3815.958058
Virginia,2004,0.78,0.96,1.04,1286057492,257534,4993.73866
Washington,2004,0.78,1.05,0.99,1332281000,220041,6054.694352
West Virginia,2004,0.78,0.89,0.99,400503343,69466,5765.458541
Wisconsin,2004,0.78,1.03,1.01,1094073292,212880,5139.389759
Wyoming,2004,0.78,0.97,0.91,200615570,22225,9026.572328
Alabama,2005,0.8,0.9,1.02,1200784589,180517,6651.919703
Alaska,2005,0.8,1.22,1.02,232072600,18720,12397.0406
Arizona,2005,0.8,0.96,1.05,984186000,218212,4510.228585
Arkansas,2005,0.8,0.89,1.01,648007390,99231,6530.291844
California,2005,0.8,1.09,0.94,8886919000,1433492,6199.489777
Colorado,2005,0.8,1.05,1.07,589284996,162711,3621.666611
Connecticut,2005,0.8,1.2,1.02,770710203,72278,10663.13682
Delaware,2005,0.8,0.99,1.23,202125538,30541,6618.170263
Florida,2005,0.8,0.92,1.02,3460995962,504657,6858.115437
Georgia,2005,0.8,0.93,1.06,2401023417,295356,8129.252214
Hawaii,2005,0.8,1.35,1.07,408803000,35733,11440.48918
Idaho,2005,0.8,0.96,0.97,349532133,45024,7763.240338
Illinois,2005,0.8,1.05,0.96,2430625483,380424,6389.253788
Indiana,2005,0.8,1,1.09,1349363832,220852,6109.810335
Iowa,2005,0.8,0.99,1.08,695064969,117737,5903.538981
Kansas,2005,0.8,1,1.01,719745106,111948,6429.280612
Kentucky,2005,0.8,0.9,1.04,1003278700,140579,7136.760825
Louisiana,2005,0.8,0.9,1.03,1273028888,183409,6940.929224
Maine,2005,0.8,1.09,0.95,237054714,35167,6740.828447
Maryland,2005,0.8,1,0.98,1137581869,196626,5785.510914
Massachusetts,2005,0.8,1.22,0.99,996835652,137677,7240.393472
Michigan,2005,0.8,1.03,1.06,1861051500,371950,5003.499126
Minnesota,2005,0.8,1.05,1,1215367000,190087,6393.740761
Mississippi,2005,0.8,0.88,0.97,754475318,118060,6390.609165
Missouri,2005,0.8,1,1,905405510,158958,5695.878849
Montana,2005,0.8,0.95,1.14,152582000,35259,4327.462492
Nebraska,2005,0.8,1.01,1.06,513608474,71932,7140.194545
Nevada,2005,0.8,1.01,0.95,502023883,59746,8402.635875
New Hampshire,2005,0.8,1.15,0.97,114421786,30885,3704.768852
New Jersey,2005,0.8,1.19,0.97,1795989000,226969,7912.926435
New Mexico,2005,0.8,0.95,1.01,754356912,79219,9522.424065
New York,2005,0.8,1.15,0.96,3319640500,497971,6666.332979
North Carolina,2005,0.8,0.93,0.98,2574532429,339034,7593.729328
North Dakota,2005,0.8,1,1.12,201214818,34629,5810.587022
Ohio,2005,0.8,1.01,1.04,2001257230,381073,5251.637429
Oklahoma,2005,0.8,0.89,1.01,782214996,136424,5733.705184
Oregon,2005,0.8,1.02,1.04,582408429,127059,4583.763677
Pennsylvania,2005,0.8,1.07,1.05,1788417000,326675,5474.60626
Rhode Island,2005,0.8,1.15,0.96,180417154,28117,6416.657325
South Carolina,2005,0.8,0.92,1,898815592,143273,6273.447139
South Dakota,2005,0.8,1.01,1,162643965,28523,5702.204011
Tennessee,2005,0.8,0.91,1.01,1312800800,170084,7718.543778
Texas,2005,0.8,0.89,0.98,5017399810,812696,6173.772001
Utah,2005,0.8,1.01,1.07,643500900,107703,5974.77229
Vermont,2005,0.8,1.12,1.01,68113461,18059,3771.718312
Virginia,2005,0.8,0.96,1.04,1416857537,260813,5432.465165
Washington,2005,0.8,1.05,0.99,1379636000,213801,6452.897788
