college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
University of Maine at Farmington,Farmington,ME,public,bachelors,main,58522,0.7109,0.949999988,0.7717,0.529999971,0.4601,9167,18255,20415,14764,11305,12370,15186,18515,20189,33200,31400,33400,37300,0.698296845,0.564623434,19600,349,22187.5,422,22931,366,23957,689,19500,451,9500,27000,1107,0.859078591
University of Maine at Fort Kent,Fort Kent,ME,public,bachelors,main,35325,0.5918,0.860000014,0.4269,0.670000017,0.3216,7575,17535,17314,12695,10963,10611,13857,15746,17114,31200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.666666687,0.429199115,PrivacySuppressed,PrivacySuppressed,12000,187,10894,200,11500,332,PrivacySuppressed,PrivacySuppressed,9482,19973,301,0.764119601
University of Maine at Machias,Machias,ME,public,bachelors,main,28802,0.6585,0.850000024,0.4357,0.75,0.4086,7490,19370,17380,9133,7107,8926,10485,13160,14087,27000,27600,28400,31200,0.565972209,0.306210526,10000,69,11560,117,12213,199,12925.5,284,8875,102,9500,21250,270,0.681481481
University of Maine,Orono,ME,public,bachelors,main,60423,0.8066,0.959999979,0.6405,0.5,0.3718,10600,27970,22461,16831,12921,14549,16813,19173,21066,38700,40300,42100,47400,0.764428318,0.574103919,18548,1618,20112,1642,18642,1289,21500,2547,16000,2009,11000,27000,3758,0.888504524
Maine Maritime Academy,Castine,ME,public,bachelors,main,68682,0.7537,0.980000019,0.7978,0.479999989,0.288,11950,22770,23673,19687,16638,16918,20017,20023,22278,74700,70700,79400,88300,0.893700778,0.75869591,25000,170,25478.5,140,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,24980,215,11000,27000,418,0.925837321
University of Maine at Presque Isle,Presque Isle,ME,public,bachelors,main,33804,0.5949,0.860000014,0.4429,0.689999998,0.3636,7300,17260,16492,10867,8506,9313,12195,14161,13753,27200,27600,29500,33900,0.552995384,0.337516625,10915.5,112,11503,262,9672,269,12041,462,PrivacySuppressed,PrivacySuppressed,7296,22012.5,471,0.690021231
University of Southern Maine,Portland,ME,public,bachelors,main,49417,0.6695,0.939999998,0.5807,0.50999999,0.3636,8920,21280,22290,17300,14414,15258,18509,20311,20549,36500,39500,39100,42200,0.720544457,0.319955705,14750,1084,18379,1408,17000,1579,19500,2513,13472.5,1568,12000,24250,3187,0.850015689
University of Baltimore,Baltimore,MD,public,bachelors,main,31331,0.6744,0.910000026,0.5768,0.5,0.4264,7838,16288,24835,16780,13639,17315,17854,21388,20987,58000,59200,65400,62100,0.838278949,0.3759,PrivacySuppressed,PrivacySuppressed,17200,607,16250,968,17371,1308,PrivacySuppressed,PrivacySuppressed,12500,20500,1134,0.684303351
Bowie State University,Bowie,MD,public,bachelors,main,45228,0.7023,0.850000024,0.6808,0.660000026,0.4873,6971,17538,18581,12962,8581,11081,14937,17286,18011,47000,48500,54000,50200,0.784894824,0.349504101,17626,679,18000,946,14709,1069,17750,1898,13700,797,15500,23320,1651,0.486977589
Coppin State University,Baltimore,MD,public,bachelors,main,29366,0.6118,0.819999993,0.6943,0.819999993,0.5964,6252,11186,16147,10328,10206,12599,16147,6741,,37600,37000,41800,42800,0.733701646,0.153439943,12250,198,12750,610,12005,1263,12750,1740,9500,332,10000,19031,1395,0.414336918
Frostburg State University,Frostburg,MD,public,bachelors,main,68365.5,0.7675,0.949999988,0.6128,0.479999989,0.35,7728,18376,19454,17123,13962,15514,17783,19422,19323,43600,40500,46800,48500,0.799326599,0.453131383,17425,947,18000,789,14250,610,17625,1251,15637.5,1096,9500,22617.5,1673,0.792588165
University of Maryland-University College,Adelphi,MD,public,bachelors,main,34322,0.3567,0.870000005,0.3028,0.579999983,0.2391,6552,12336,13222,9358,9358,,,,,50700,49400,56800,71300,0.794474185,0.037027273,13000,2397,12800,6435,10500,7110,12598,9878,11000,6100,9500,21000,8444,0.655968735
University of Maryland-Baltimore,Baltimore,MD,public,bachelors,main,20052,,0.970000029,0.5014,0.189999998,0.2005,,,,,,,,,,80400,108500,83800,88500,0.942028999,,PrivacySuppressed,PrivacySuppressed,15250,157,12500,275,PrivacySuppressed,PrivacySuppressed,13000,395,12269.5,14500,386,0.955958549
University of Maryland-Baltimore County,Baltimore,MD,public,bachelors,main,59891,0.8733,0.879999995,0.4251,0.50999999,0.2695,10068,21642,22024,18539,13285,14727,19011,21043,21654,53500,54600,58000,59400,0.846188962,0.625628431,16657,1569,17750,1106,18750,1234,20129,2165,14062,1747,11750,21500,2683,0.86209467
University of Maryland-College Park,College Park,MD,public,bachelors,main,75194,0.9468,0.899999976,0.3581,0.430000007,0.1907,9162,28348,22933,16299,7901,11394,15134,19364,21252,59100,65600,67200,66500,0.868924618,0.830755683,18479,4021,17125,2105,15663.5,1638,18042,3474,16875,4299,14000,19500,6025,0.915186722
University of Maryland Eastern Shore,Princess Anne,MD,public,bachelors,main,40227,0.678,0.899999976,0.6948,0.689999998,0.5506,6998,15504,20587,14511,10682,13746,17238,19462,19744,37800,38100,41800,42200,0.714956939,0.319531603,19500,451,19727,697,16000,904,19000,1536,14750,519,11763,27500,1489,0.459368704
Morgan State University,Baltimore,MD,public,bachelors,main,40263.5,0.7207,0.930000007,0.8105,0.699999988,0.6152,7218,16632,20108,14502,11741,13758,16050,18091,17739,39700,40400,42300,45500,0.735537171,0.310851319,22000,655,24750.5,1106,21687.5,1438,24894,2470,17500,729,16000,31000,2918,0.377313228
Salisbury University,Salisbury,MD,public,bachelors,main,87919.5,0.8049,0.959999979,0.5213,0.340000004,0.2209,8128,16474,20916,16888,11363,12961,16386,18391,19137,47300,45700,46900,52000,0.822115362,0.670942396,15633,1734,16750,890,16168,726,18120,1447,14500,1912,8250,20443,2242,0.89206066
St Mary's College of Maryland,St. Mary's City,MD,public,bachelors,main,103581.5,0.8998,0.939999998,0.4135,0.289999992,0.152,14864,28664,29174,20616,7806,11209,16717,22443,26099,48200,PrivacySuppressed,46700,56900,0.820388377,0.799337668,19353,367,21000,121,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18500,377,9500,21671.5,534,0.934456929
Towson University,Towson,MD,public,bachelors,main,71279.5,0.8603,0.930000007,0.5047,0.409999996,0.2498,8342,20020,21596,16133,9455,10892,14499,19588,20552,49500,50400,53100,53700,0.835928798,0.656359865,15875,3616,16500,1989,15007.5,1746,17050,3409,15000,3960,9250,19000,4573,0.877104745
Bridgewater State University,Bridgewater,MA,public,bachelors,main,72560,0.814,0.949999988,0.5298,0.400000006,0.2372,8053,14193,19303,17477,14019,15685,18287,19216,19247,41500,40600,43500,44100,0.762112379,0.56056532,19280,2057,20132.5,1620,18000,1364,20895,2577,17500,2472,11250,24998,3154,0.821496512
Fitchburg State University,Fitchburg,MA,public,bachelors,main,70609.5,0.7808,0.939999998,0.6887,0.419999987,0.3416,8985,15065,17686,12849,8845,9377,12587,16251,17120,42100,41800,44600,48700,0.771929801,0.50560575,16400,849,17088,732,13668.5,550,15624.5,1112,15523,1021,8750,21750,1494,0.846720214
Framingham State University,Framingham,MA,public,bachelors,main,72222.5,0.7308,0.930000007,0.6681,0.379999995,0.2829,8080,14160,21402,17552,12054,13097,16570,19755,20383,43200,46700,45600,46700,0.785425127,0.510747661,17500,958,15420,603,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14946,1105,8250,23853,1413,0.882519462
University of Massachusetts-Lowell,Lowell,MA,public,bachelors,main,61757,0.8389,0.939999998,0.597,0.439999998,0.2989,12097,26146,22861,16351,9978,10733,15001,19351,21133,48900,50200,53000,55200,0.824863911,0.54036112,19500,2065,20600,1857,19000,1894,21500,3132,17250,2690,12000,25000,3301,0.840654347
University of Massachusetts-Amherst,Amherst,MA,public,bachelors,main,75270.5,0.893,0.959999979,0.6043,0.400000006,0.2513,13443,28159,25665,19087,12116,12901,16046,21393,23821,49600,48800,52400,57500,0.816443264,0.71455393,21250,4864,22500,2944,20509,2359,22250,4646,20500,5538,12250,24250,7368,0.897801303
University of Massachusetts-Boston,Boston,MA,public,bachelors,main,33287,0.7747,0.889999986,0.5642,0.600000024,0.3831,11966,27430,19763,11741,7634,9153,12775,16944,18533,45800,46800,50600,52700,0.768853188,0.409232962,15000,1062,18000,1303,16023.5,1934,17750,2772,14290,1534,PrivacySuppressed,PrivacySuppressed,3953,0.781684796
Massachusetts College of Art and Design,Boston,MA,public,bachelors,main,60374,0.8438,0.959999979,0.5535,0.50999999,0.2565,10400,28600,25384,21058,15601,16395,18773,23890,24620,34000,40800,32900,36200,0.65193373,0.688838935,23000,380,23750,228,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19500,433,12000,26000,577,0.850953206
Massachusetts Maritime Academy,Buzzards Bay,MA,public,bachelors,main,86279,0.85,0.99000001,0.7462,0.349999994,0.186,7127,22033,22420,16546,7115,7923,10921,16187,21037,79500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.905325472,0.639254118,23000,391,23062.5,126,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20500,428,12000,27000,396,0.919191919
Massachusetts College of Liberal Arts,North Adams,MA,public,bachelors,main,56421.5,0.7857,0.949999988,0.8456,0.5,0.4513,8525,17470,20025,14837,11550,12776,14942,17620,18056,36400,32500,37300,41800,0.693089426,0.519751027,PrivacySuppressed,PrivacySuppressed,19500,322,18750,329,19499,601,PrivacySuppressed,PrivacySuppressed,10500,25000,726,0.851239669
Salem State University,Salem,MA,public,bachelors,main,51386,0.7808,0.930000007,0.5898,0.519999981,0.3339,8130,14270,20601,15420,11182,12839,15735,17767,19507,40400,42700,40100,44700,0.746233165,0.454822263,16904,1229,20500,1114,20547.5,1352,22000,2179,15000,1518,12000,25428,2774,0.828767123
University of Massachusetts-Dartmouth,North Dartmouth,MA,public,bachelors,main,69531.5,0.7609,0.959999979,0.717,0.419999987,0.3799,11681,24156,23763,17092,11896,13829,16156,20262,22262,44800,42000,47900,51200,0.77913487,0.494293695,19000,1405,20500,1206,18279,1205,21014,2148,16882,1675,14100,25921,3192,0.81547619
Westfield State University,Westfield,MA,public,bachelors,main,78180,0.7909,0.959999979,0.6121,0.349999994,0.2609,8694,14774,19468,16558,11609,12947,16049,18895,19218,43300,41400,43700,47000,0.805970132,0.592189709,17922,1342,16719,915,14500,759,PrivacySuppressed,PrivacySuppressed,15000,1586,7500,23026,2111,0.900994789
Worcester State University,Worcester,MA,public,bachelors,main,62776.5,0.8028,0.920000017,0.5427,0.439999998,0.271,8157,14237,18494,14402,10397,11812,13812,15607,17380,43700,43300,47700,48200,0.805788994,0.498862082,15000,815,15250,607,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1009,14115,PrivacySuppressed,8250,19503,1603,0.84217093
